CodigoEstacion,NombreEstacion,Latitud,Longitud,Altitud,Categoria,Entidad,AreaOperativa,Departamento,Municipio,FechaInstalacion,FechaSuspension,IdParametro,Etiqueta,DescripcionSerie,Frecuencia,Fecha,Valor,Grado,Calificador,NivelAprobacion
12017060,APARTADO [12017060],7.875750,-76.62258333,65,Limnimétrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 01 - Antioquia-Chocó,Antioquia,Apartadó,15/03/1977 00:00,10/03/2013 00:00,CAUDAL,Q_MEDIA_D,Caudal medio diario,Diaria,1984-01-17 00:00,3.15,4,EST. OTROS METODOS,900
12017060,APARTADO [12017060],7.875750,-76.62258333,65,Limnimétrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 01 - Antioquia-Chocó,Antioquia,Apartadó,15/03/1977 00:00,10/03/2013 00:00,CAUDAL,Q_MEDIA_D,Caudal medio diario,Diaria,1984-01-18 00:00,7.01,4,EST. OTROS METODOS,900
12017060,APARTADO [12017060],7.875750,-76.62258333,65,Limnimétrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 01 - Antioquia-Chocó,Antioquia,Apartadó,15/03/1977 00:00,10/03/2013 00:00,CAUDAL,Q_MEDIA_D,Caudal medio diario,Diaria,1984-01-19 00:00,6.34,4,EST. OTROS METODOS,900
12017060,APARTADO [12017060],7.875750,-76.62258333,65,Limnimétrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 01 - Antioquia-Chocó,Antioquia,Apartadó,15/03/1977 00:00,10/03/2013 00:00,CAUDAL,Q_MEDIA_D,Caudal medio diario,Diaria,1984-01-20 00:00,6.06,4,EST. OTROS METODOS,900
12017060,APARTADO [12017060],7.875750,-76.62258333,65,Limnimétrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 01 - Antioquia-Chocó,Antioquia,Apartadó,15/03/1977 00:00,10/03/2013 00:00,CAUDAL,Q_MEDIA_D,Caudal medio diario,Diaria,1984-01-21 00:00,5.59,4,EST. OTROS METODOS,900
12017060,APARTADO [12017060],7.875750,-76.62258333,65,Limnimétrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 01 - Antioquia-Chocó,Antioquia,Apartadó,15/03/1977 00:00,10/03/2013 00:00,CAUDAL,Q_MEDIA_D,Caudal medio diario,Diaria,1984-01-22 00:00,3.87,4,EST. OTROS METODOS,900
12017060,APARTADO [12017060],7.875750,-76.62258333,65,Limnimétrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 01 - Antioquia-Chocó,Antioquia,Apartadó,15/03/1977 00:00,10/03/2013 00:00,CAUDAL,Q_MEDIA_D,Caudal medio diario,Diaria,1984-01-23 00:00,4.62,4,EST. OTROS METODOS,900
12017060,APARTADO [12017060],7.875750,-76.62258333,65,Limnimétrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 01 - Antioquia-Chocó,Antioquia,Apartadó,15/03/1977 00:00,10/03/2013 00:00,CAUDAL,Q_MEDIA_D,Caudal medio diario,Diaria,1984-01-24 00:00,3.59,4,EST. OTROS METODOS,900
12017060,APARTADO [12017060],7.875750,-76.62258333,65,Limnimétrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 01 - Antioquia-Chocó,Antioquia,Apartadó,15/03/1977 00:00,10/03/2013 00:00,CAUDAL,Q_MEDIA_D,Caudal medio diario,Diaria,1984-01-25 00:00,2.56,4,EST. OTROS METODOS,900
12017060,APARTADO [12017060],7.875750,-76.62258333,65,Limnimétrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 01 - Antioquia-Chocó,Antioquia,Apartadó,15/03/1977 00:00,10/03/2013 00:00,CAUDAL,Q_MEDIA_D,Caudal medio diario,Diaria,1984-01-26 00:00,2.35,4,EST. OTROS METODOS,900
12017060,APARTADO [12017060],7.875750,-76.62258333,65,Limnimétrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 01 - Antioquia-Chocó,Antioquia,Apartadó,15/03/1977 00:00,10/03/2013 00:00,CAUDAL,Q_MEDIA_D,Caudal medio diario,Diaria,1984-01-27 00:00,2.4,4,EST. OTROS METODOS,900
12017060,APARTADO [12017060],7.875750,-76.62258333,65,Limnimétrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 01 - Antioquia-Chocó,Antioquia,Apartadó,15/03/1977 00:00,10/03/2013 00:00,CAUDAL,Q_MEDIA_D,Caudal medio diario,Diaria,1984-01-28 00:00,2.25,4,EST. OTROS METODOS,900
12017060,APARTADO [12017060],7.875750,-76.62258333,65,Limnimétrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 01 - Antioquia-Chocó,Antioquia,Apartadó,15/03/1977 00:00,10/03/2013 00:00,CAUDAL,Q_MEDIA_D,Caudal medio diario,Diaria,1984-01-29 00:00,1.8,4,EST. OTROS METODOS,900
12017060,APARTADO [12017060],7.875750,-76.62258333,65,Limnimétrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 01 - Antioquia-Chocó,Antioquia,Apartadó,15/03/1977 00:00,10/03/2013 00:00,CAUDAL,Q_MEDIA_D,Caudal medio diario,Diaria,1984-01-30 00:00,1.55,4,EST. OTROS METODOS,900
12017060,APARTADO [12017060],7.875750,-76.62258333,65,Limnimétrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 01 - Antioquia-Chocó,Antioquia,Apartadó,15/03/1977 00:00,10/03/2013 00:00,CAUDAL,Q_MEDIA_D,Caudal medio diario,Diaria,1984-01-31 00:00,1.5,4,EST. OTROS METODOS,900
12017060,APARTADO [12017060],7.875750,-76.62258333,65,Limnimétrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 01 - Antioquia-Chocó,Antioquia,Apartadó,15/03/1977 00:00,10/03/2013 00:00,CAUDAL,Q_MEDIA_D,Caudal medio diario,Diaria,1984-02-01 00:00,1.41,4,EST. OTROS METODOS,900
12017060,APARTADO [12017060],7.875750,-76.62258333,65,Limnimétrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 01 - Antioquia-Chocó,Antioquia,Apartadó,15/03/1977 00:00,10/03/2013 00:00,CAUDAL,Q_MEDIA_D,Caudal medio diario,Diaria,1984-02-02 00:00,1.27,4,EST. OTROS METODOS,900
12017060,APARTADO [12017060],7.875750,-76.62258333,65,Limnimétrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 01 - Antioquia-Chocó,Antioquia,Apartadó,15/03/1977 00:00,10/03/2013 00:00,CAUDAL,Q_MEDIA_D,Caudal medio diario,Diaria,1984-02-03 00:00,1.76,4,EST. OTROS METODOS,900
12017060,APARTADO [12017060],7.875750,-76.62258333,65,Limnimétrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 01 - Antioquia-Chocó,Antioquia,Apartadó,15/03/1977 00:00,10/03/2013 00:00,CAUDAL,Q_MEDIA_D,Caudal medio diario,Diaria,1984-02-04 00:00,1.75,4,EST. OTROS METODOS,900
12017060,APARTADO [12017060],7.875750,-76.62258333,65,Limnimétrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 01 - Antioquia-Chocó,Antioquia,Apartadó,15/03/1977 00:00,10/03/2013 00:00,CAUDAL,Q_MEDIA_D,Caudal medio diario,Diaria,1984-02-05 00:00,2.3,4,EST. OTROS METODOS,900
12017060,APARTADO [12017060],7.875750,-76.62258333,65,Limnimétrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 01 - Antioquia-Chocó,Antioquia,Apartadó,15/03/1977 00:00,10/03/2013 00:00,CAUDAL,Q_MEDIA_D,Caudal medio diario,Diaria,1984-02-06 00:00,2.89,4,EST. OTROS METODOS,900
12017060,APARTADO [12017060],7.875750,-76.62258333,65,Limnimétrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 01 - Antioquia-Chocó,Antioquia,Apartadó,15/03/1977 00:00,10/03/2013 00:00,CAUDAL,Q_MEDIA_D,Caudal medio diario,Diaria,1984-02-07 00:00,7.2,4,EST. OTROS METODOS,900
12017060,APARTADO [12017060],7.875750,-76.62258333,65,Limnimétrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 01 - Antioquia-Chocó,Antioquia,Apartadó,15/03/1977 00:00,10/03/2013 00:00,CAUDAL,Q_MEDIA_D,Caudal medio diario,Diaria,1984-02-08 00:00,12.03,4,EST. OTROS METODOS,900
12017060,APARTADO [12017060],7.875750,-76.62258333,65,Limnimétrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 01 - Antioquia-Chocó,Antioquia,Apartadó,15/03/1977 00:00,10/03/2013 00:00,CAUDAL,Q_MEDIA_D,Caudal medio diario,Diaria,1984-02-09 00:00,9.48,4,EST. OTROS METODOS,900
12017060,APARTADO [12017060],7.875750,-76.62258333,65,Limnimétrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 01 - Antioquia-Chocó,Antioquia,Apartadó,15/03/1977 00:00,10/03/2013 00:00,CAUDAL,Q_MEDIA_D,Caudal medio diario,Diaria,1984-02-10 00:00,14.58,4,EST. OTROS METODOS,900
