Date,log_yield,price
2005-03-31,-0.0006943847521812366,1180.5899658203125
2005-04-01,-0.006517880949263398,1172.9200439453125
2005-04-04,0.002724477316724463,1176.1199951171875
2005-04-05,0.00447084278556942,1181.3900146484375
2005-04-06,0.0022658872536414033,1184.0699462890625
2005-04-07,0.005953233066958344,1191.1400146484375
2005-04-08,-0.008380014491591885,1181.199951171875
2005-04-11,8.474198803386038e-06,1181.2099609375
2005-04-12,0.005529884802782768,1187.760009765625
2005-04-13,-0.01183132550562878,1173.7900390625
2005-04-14,-0.010052134263021657,1162.050048828125
2005-04-15,-0.01686186196276537,1142.6199951171875
2005-04-18,0.002936282269934283,1145.97998046875
2005-04-19,0.005916292813629376,1152.780029296875
2005-04-20,-0.013343570060666856,1137.5
2005-04-21,0.019543986803022037,1159.949951171875
2005-04-22,-0.0067731393687058975,1152.1199951171875
2005-04-25,0.008624972960833317,1162.0999755859375
2005-04-26,-0.008876748450908203,1151.8299560546875
2005-04-27,0.003942496392166546,1156.3800048828125
2005-04-28,-0.011445623573942097,1143.219970703125
2005-04-29,0.011851956462206029,1156.8499755859375
2005-05-02,0.004579598925333747,1162.1600341796875
2005-05-03,-0.0008522166554060164,1161.1700439453125
2005-05-04,0.01239305156034736,1175.6500244140625
2005-05-05,-0.0025721133412976343,1172.6300048828125
2005-05-06,-0.0010921846046322305,1171.3499755859375
2005-05-09,0.006373966172402125,1178.8399658203125
2005-05-10,-0.01076315086971956,1166.219970703125
2005-05-11,0.004184280247109813,1171.1099853515625
2005-05-12,-0.010083888412137035,1159.3599853515625
2005-05-13,-0.004590579075786052,1154.050048828125
2005-05-16,0.010035599091202397,1165.68994140625
2005-05-17,0.006933254635373273,1173.800048828125
2005-05-18,0.009968895481321639,1185.56005859375
2005-05-19,0.004645135445231884,1191.0799560546875
2005-05-20,-0.0015123150380106515,1189.280029296875
2005-05-23,0.0038436362656395443,1193.8599853515625
2005-05-24,0.00017585184159638718,1194.0699462890625
2005-05-25,-0.0034058760803961736,1190.010009765625
2005-05-26,0.00637453131772754,1197.6199951171875
2005-05-27,0.0009681474365535906,1198.780029296875
2005-05-31,-0.006091379853434456,1191.5
2005-06-01,0.008956805725932198,1202.219970703125
2005-06-02,0.001720390824511472,1204.2900390625
2005-06-03,-0.006890819980251237,1196.02001953125
2005-06-06,0.001245015026845047,1197.510009765625
2005-06-07,-0.00020878831693162237,1197.260009765625
2005-06-08,-0.002165587433034947,1194.6700439453125
2005-06-09,0.005226267957247287,1200.9300537109375
2005-06-10,-0.0023509984096796743,1198.1099853515625
2005-06-13,0.0022593090815211927,1200.8199462890625
2005-06-14,0.0025700096198286804,1203.9100341796875
2005-06-15,0.0022152533117078253,1206.5799560546875
2005-06-16,0.003623526250350597,1210.9599609375
2005-06-17,0.004942512444624592,1216.9599609375
2005-06-20,-0.0007069167302181835,1216.0999755859375
2005-06-21,-0.002049620033747776,1213.6099853515625
2005-06-22,0.0002224680912793435,1213.8800048828125
2005-06-23,-0.010892156085218305,1200.72998046875
2005-06-24,-0.007657968670771707,1191.5699462890625
2005-06-27,-0.0007387984219396944,1190.68994140625
2005-06-28,0.009096068495660192,1201.5699462890625
2005-06-29,-0.0014324616711678033,1199.8499755859375
2005-06-30,-0.007126235441053447,1191.3299560546875
2005-07-01,0.0026071140527265412,1194.43994140625
2005-07-05,0.008793852803795384,1204.989990234375
2005-07-06,-0.008375334165637524,1194.93994140625
2005-07-07,0.0024490496555651634,1197.8699951171875
2005-07-08,0.01161138179782478,1211.8599853515625
2005-07-11,0.0062353315852996275,1219.43994140625
2005-07-12,0.0022689745298750826,1222.2099609375
2005-07-13,0.0008833189083851104,1223.2900390625
2005-07-14,0.002620602356418461,1226.5
2005-07-15,0.0011571320950246463,1227.9200439453125
2005-07-18,-0.005545053245331578,1221.1300048828125
2005-07-19,0.006708890992640744,1229.3499755859375
2005-07-20,0.004747306199091748,1235.199951171875
2005-07-21,-0.006628063888680194,1227.0400390625
2005-07-22,0.005396819235282299,1233.6800537109375
2005-07-25,-0.003776351891558406,1229.030029296875
2005-07-26,0.001731577935090858,1231.1600341796875
2005-07-27,0.004562502872513562,1236.7900390625
2005-07-28,0.00558752002041879,1243.719970703125
2005-07-29,-0.007700039576876157,1234.1800537109375
2005-08-01,0.0009474855123392279,1235.3499755859375
2005-08-02,0.007074137786163408,1244.1199951171875
2005-08-03,0.0007392405265853752,1245.0400390625
2005-08-04,-0.007400617130228752,1235.8599853515625
2005-08-05,-0.007667679991179147,1226.4200439453125
2005-08-08,-0.002686241126164497,1223.1300048828125
2005-08-09,0.006722344610712961,1231.3800048828125
2005-08-10,-0.0018288896352600188,1229.1300048828125
2005-08-11,0.007037130459696324,1237.81005859375
2005-08-12,-0.006012532273180849,1230.3900146484375
2005-08-15,0.002824363312543445,1233.8699951171875
2005-08-16,-0.011845866793172682,1219.3399658203125
2005-08-17,0.0007378519836267019,1220.239990234375
2005-08-18,-0.0010002794289758986,1219.02001953125
2005-08-19,0.0005658202672560684,1219.7099609375
2005-08-22,0.0016547775416798668,1221.72998046875
2005-08-23,-0.0033944039442890712,1217.5899658203125
2005-08-24,-0.0065920361862354246,1209.5899658203125
2005-08-25,0.0022956866031227587,1212.3699951171875
2005-08-26,-0.006014586766805522,1205.0999755859375
2005-08-29,0.005940377442203705,1212.280029296875
2005-08-30,-0.0031974340479844683,1208.4100341796875
2005-08-31,0.009815803774647127,1220.3299560546875
2005-09-01,0.001031982962391605,1221.5899658203125
2005-09-02,-0.0029266553741290357,1218.02001953125
2005-09-06,0.012539882199711907,1233.3900146484375
2005-09-07,0.0024050791657059738,1236.3599853515625
